frame_idx,count_ball,count_player,count_goalkeeper,count_referee,mean_player_speed_kmh,ball_observed,ball_interpolated
558,0,24,0,0,nan,0,0
559,0,24,0,0,nan,0,0
560,0,25,0,0,nan,0,0
561,0,26,0,0,nan,0,0
562,0,27,0,0,nan,0,0
563,0,25,0,0,nan,0,0
564,0,25,0,0,nan,0,0
565,0,26,0,0,nan,0,0
566,0,26,0,0,nan,0,0
567,0,25,0,0,nan,0,0
568,0,25,0,0,nan,0,0
569,0,25,0,0,nan,0,0
570,0,26,0,0,nan,0,0
571,0,25,0,0,nan,0,0
572,0,26,0,0,nan,0,0
573,0,25,0,0,nan,0,0
574,0,26,0,0,nan,0,0
575,0,26,0,0,nan,0,0
576,0,26,0,0,nan,0,0
577,0,27,0,0,nan,0,0
578,0,27,0,0,nan,0,0
579,0,27,0,0,nan,0,0
580,0,27,0,0,nan,0,0
581,0,27,0,0,nan,0,0
582,0,27,0,0,nan,0,0
583,0,27,0,0,nan,0,0
584,0,26,0,0,nan,0,0
585,0,26,0,0,nan,0,0
586,0,26,0,0,nan,0,0
587,0,26,0,0,nan,0,0
588,0,25,0,0,nan,0,0
589,0,26,0,0,nan,0,0
590,0,26,0,0,nan,0,0
591,0,24,0,0,nan,0,0
592,0,26,0,0,nan,0,0
593,1,24,0,0,nan,1,0
594,0,24,0,0,nan,0,0
595,0,25,0,0,nan,0,0
596,1,26,0,0,nan,1,0
597,0,26,0,0,nan,0,0
598,0,25,0,0,nan,0,0
599,0,24,0,0,nan,0,0
600,0,24,0,0,nan,0,0
601,0,25,0,0,nan,0,0
602,0,26,0,0,nan,0,0
603,0,25,0,0,nan,0,0
604,0,25,0,0,nan,0,0
605,0,25,0,0,nan,0,0
606,0,26,0,0,nan,0,0
607,0,26,0,0,nan,0,0
608,0,26,0,0,nan,0,0
609,0,26,0,0,nan,0,0
610,0,26,0,0,nan,0,0
611,0,24,0,0,nan,0,0
612,0,25,0,0,nan,0,0
613,0,23,0,0,nan,0,0
614,0,23,0,0,nan,0,0
615,0,24,0,0,nan,0,0
616,0,25,0,0,nan,0,0
617,1,26,0,0,nan,1,0
618,0,26,0,0,nan,0,0
619,0,26,0,0,nan,0,0
620,0,26,0,0,nan,0,0
621,0,26,0,0,nan,0,0
622,0,26,0,0,nan,0,0
623,0,27,0,0,nan,0,0
624,0,27,0,0,nan,0,0
625,0,27,0,0,nan,0,0
626,0,28,0,0,nan,0,0
627,0,28,0,0,nan,0,0
628,0,27,0,0,nan,0,0
629,0,27,0,0,nan,0,0
630,0,27,0,0,nan,0,0
631,0,27,0,0,nan,0,0
632,0,27,0,0,nan,0,0
633,0,27,0,0,nan,0,0
634,0,26,0,0,nan,0,0
635,0,26,0,0,nan,0,0
636,0,28,0,0,nan,0,0
637,0,27,0,0,nan,0,0
638,0,25,0,0,nan,0,0
639,0,26,0,0,nan,0,0
640,0,26,0,0,nan,0,0
641,0,28,0,0,nan,0,0
642,0,27,0,0,nan,0,0
643,0,27,0,0,nan,0,0
644,0,27,0,0,nan,0,0
645,1,27,0,0,nan,1,0
646,1,27,0,0,nan,1,0
647,1,26,0,0,nan,1,0
648,1,25,0,0,nan,1,0
649,1,25,0,0,nan,1,0
650,1,24,0,0,nan,1,0
651,1,23,0,0,nan,1,0
652,0,24,0,0,nan,0,0
653,1,25,0,0,nan,1,0
654,1,24,0,0,nan,1,0
655,0,25,0,0,nan,0,0
656,0,24,0,0,nan,0,0
657,0,23,0,0,nan,0,0
658,0,24,0,0,nan,0,0
659,0,22,0,0,nan,0,0
660,0,24,0,0,nan,0,0
661,0,25,0,0,nan,0,0
662,0,25,0,0,nan,0,0
663,0,25,0,0,nan,0,0
664,0,25,0,0,nan,0,0
665,0,25,0,0,nan,0,0
666,0,26,0,0,nan,0,0
667,0,24,0,0,nan,0,0
668,0,26,0,0,nan,0,0
669,0,25,0,0,nan,0,0
670,0,24,0,0,nan,0,0
671,0,24,0,0,nan,0,0
672,0,25,0,0,nan,0,0
673,0,22,0,0,nan,0,0
674,0,22,0,0,nan,0,0
675,0,22,0,0,nan,0,0
676,0,22,0,0,nan,0,0
677,1,22,0,0,nan,1,0
678,0,22,0,0,nan,0,0
679,0,22,0,0,nan,0,0
680,0,23,0,0,nan,0,0
681,0,23,0,0,nan,0,0
682,1,22,0,0,nan,1,0
683,0,22,0,0,nan,0,0
684,0,22,0,0,nan,0,0
685,0,23,0,0,nan,0,0
686,1,22,0,0,nan,1,0
687,0,22,0,0,nan,0,0
688,0,22,0,0,nan,0,0
689,1,22,0,0,nan,1,0
690,1,24,0,0,nan,1,0
691,0,23,0,0,nan,0,0
692,1,22,0,0,nan,1,0
693,0,22,0,0,nan,0,0
694,1,23,0,0,nan,1,0
695,1,22,0,0,nan,1,0
696,1,21,0,0,nan,1,0
697,0,21,0,0,nan,0,0
698,1,21,0,0,nan,1,0
699,1,21,0,0,nan,1,0
700,0,21,0,0,nan,0,0
701,1,22,0,0,nan,1,0
702,1,22,0,0,nan,1,0
703,1,21,0,0,nan,1,0
704,1,21,0,0,nan,1,0
705,0,20,0,0,nan,0,0
706,0,21,0,0,nan,0,0
707,1,21,0,0,nan,1,0
708,1,22,0,0,nan,1,0
709,0,22,0,0,nan,0,0
710,0,21,0,0,nan,0,0
711,0,20,0,0,nan,0,0
712,0,20,0,0,nan,0,0
713,0,21,0,0,nan,0,0
714,0,19,0,0,nan,0,0
715,0,20,0,0,nan,0,0
716,1,19,0,0,nan,1,0
717,1,22,0,0,nan,1,0
718,0,23,0,0,nan,0,0
719,1,23,0,0,nan,1,0
720,1,22,0,0,nan,1,0
721,0,23,0,0,nan,0,0
722,1,21,0,0,nan,1,0
723,0,22,0,0,nan,0,0
724,0,23,0,0,nan,0,0
725,0,21,0,0,nan,0,0
726,0,21,0,0,nan,0,0
727,0,23,0,0,nan,0,0
728,0,23,0,0,nan,0,0
729,0,22,0,0,nan,0,0
730,1,22,0,0,nan,1,0
731,0,23,0,0,nan,0,0
732,0,23,0,0,nan,0,0
733,1,23,0,0,nan,1,0
734,1,22,0,0,nan,1,0
735,0,21,0,0,nan,0,0
